127.0.0.1 - - [12/Oct/2022:16:01:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:01:59 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:01:59 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:01:59 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:01:59 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:02:02 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:02:04 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:03:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:03:54 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:03:54 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:03:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:06:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:06:09 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:06:13 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:06:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:11:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:13:36 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 2965
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:13:54 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:13:58 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:13:58 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:13:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:14:01 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:14:14 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:14:15 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:14:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:16:38 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:17:54 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:17:54 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2720
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:18:03 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:35:25 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:35:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3453
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:35:33 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:36:27 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:36:55 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:36:55 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:36:57 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3479
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:36:57 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:37:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3473
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:37:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3490
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:01 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:08 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:09 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:38:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3491
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:47:53 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [12/Oct/2022:16:49:03 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3635
