127.0.0.1 - - [08/Nov/2022:15:56:03 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:04 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:11 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Nov/2022:15:56:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:12:26 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:12:34 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:12:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1759
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:12:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:12:37 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:48 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:51 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:53 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:13:56 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:13 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 3225
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:13 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:14 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:24 +0900] "POST /BBS/replyAction.jsp?bbsID=1&commentID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 10256
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:14:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:18:20 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 10257
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:18:20 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:18:20 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:18:20 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:18:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:23 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 10271
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:23 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:23 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:23 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:30 +0900] "GET /BBS/reporting.jsp?user1name=test111&user2name=test111 HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [08/Nov/2022:16:19:34 +0900] "GET /BBS/reporting.jsp?user1name=test111&user2name=test222 HTTP/1.1" 200 2860
