127.0.0.1 - - [17/Nov/2022:13:58:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:32 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:32 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:32 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:38 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:38 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:38 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:44 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:48 +0900] "GET /BBS/admin.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [17/Nov/2022:13:58:48 +0900] "GET /BBS/report.jsp HTTP/1.1" 200 4861
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:00:42 +0900] "GET /BBS/report.jsp HTTP/1.1" 200 4897
