127.0.0.1 - - [15/Nov/2022:14:06:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:17 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:37 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:06:44 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:10:42 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:10:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1814
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:10:45 +0900] "GET /BBS/admin.jsp HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:10:47 +0900] "GET /BBS/report.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:12:06 +0900] "GET /BBS/report.jsp HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [15/Nov/2022:14:12:06 +0900] "GET /BBS/report.jsp HTTP/1.1" 200 2948
