127.0.0.1 - - [18/Oct/2022:14:39:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:42 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:42 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 3532
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:39:49 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 500 2885
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:43:12 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1747
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:43:12 +0900] "GET /BBS/WebContent/bbs.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:43:14 +0900] "GET /BBS/WebContent/bbs.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:43:16 +0900] "GET /BBS/WebContent/bbs.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1748
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:23 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:23 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:24 +0900] "GET /WebContent/bbs.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:26 +0900] "GET /WebContent/bbs.jsp HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:40 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:44 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:45 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:46 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:47 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:47 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:51 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:45:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:05 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:06 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:06 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:13 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [18/Oct/2022:14:46:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [18/Oct/2022:15:27:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2637
