127.0.0.1 - - [26/Oct/2022:13:16:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:16:19 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:16:19 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:16:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:16:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:17:56 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:17:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:01 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:01 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:01 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:12 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:20 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:18:22 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:24:59 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3287
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:16 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:16 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:20 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2657
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:21 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2778
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:23 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:23 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4106
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:27 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:28 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:30 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:31 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:31 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:32 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:33 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:55 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:56 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:25:56 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:26:44 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:26:44 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:26:50 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:15 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:17 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:18 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:19 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:37 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:37 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:39 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:39 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:28:40 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4713
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:09 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:11 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:11 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:11 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:12 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:12 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:13 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:19 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:21 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:21 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:21 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:23 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:23 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:34:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4711
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:53 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:53 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:54 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:55 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:57 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:58 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:58 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:58 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:40:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:41:00 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:41:01 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4715
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:49:04 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:49:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:49:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [26/Oct/2022:13:49:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4826
