127.0.0.1 - - [15/Oct/2022:19:43:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:45 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:45 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:45 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:45 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:49 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:49 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:43:49 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:00 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:01 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3623
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:04 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:05 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4363
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:07 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:11 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:12 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:44:14 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:50 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:50 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:50 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:50 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:52 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3880
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:52 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:52 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:46:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:04 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:04 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:04 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:06 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:06 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:06 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:07 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:07 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:07 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 3854
0:0:0:0:0:0:0:1 - - [15/Oct/2022:19:47:07 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
