127.0.0.1 - - [04/Nov/2022:12:11:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:19 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:19 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:19 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:19 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:28 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:32 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:32 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:11:34 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5195
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:13:43 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:16:48 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:16:49 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:16:50 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:16:50 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:18:39 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:18:39 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:18:41 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5254
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:18:41 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:21 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:21 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:22 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5238
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:22 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:28 +0900] "POST /BBS/updateAction.jsp?bbsID=1&commentID=2 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:28 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5256
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:28 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:32 +0900] "POST /BBS/updateAction.jsp?bbsID=1&commentID=2 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:32 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5234
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:22:32 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:37:10 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:37:10 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [04/Nov/2022:12:37:11 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5302
