127.0.0.1 - - [03/Nov/2022:09:15:21 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:22 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:22 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:22 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:22 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:28 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:15:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:16:03 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:16:07 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:16:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:16:08 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:16:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5334
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:29:04 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:29:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:09:29:26 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:34 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2803
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:36 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4374
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:39 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:42 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:42 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:43 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:44 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5280
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:50:55 +0900] "POST /BBS/commentAction.jsp?bbsID=1%20class= HTTP/1.1" 500 2621
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:52:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:52:30 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5319
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:52:37 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:10:52:38 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:00:50 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:00:51 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5407
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:01:16 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:01:17 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5358
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:01:38 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:01:39 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:02:11 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:02:12 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5193
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:05:23 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:05:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:05:25 +0900] "GET /BBS/update.jsp?bbsID=1 HTTP/1.1" 200 2792
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:05:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:05:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5210
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:27 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:36 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [03/Nov/2022:11:06:43 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5222
