127.0.0.1 - - [05/Nov/2022:13:41:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:18 +0900] "GET /BBS/ HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:18 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:18 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:25 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:25 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:25 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:25 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:36 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:39 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1752
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:40 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:41:42 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8666
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:43:56 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:43:58 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8788
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:45:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:45:30 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8772
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:46:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:46:18 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8851
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:46:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:46:30 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8836
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:46:47 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:47:48 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8836
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:47:48 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:48:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:48:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:48:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8839
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:48:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:25 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4613
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:25 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:26 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 8782
0:0:0:0:0:0:0:1 - - [05/Nov/2022:13:49:26 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:14:27:59 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:14:27:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:14:27:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 7977
0:0:0:0:0:0:0:1 - - [05/Nov/2022:14:27:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:08:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:08:18 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:08:19 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 7642
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:08:19 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:29:39 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:29:39 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:29:40 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 9378
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:29:40 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:09 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:10 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 9438
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:10 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:42 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4597
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:42 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [05/Nov/2022:15:30:44 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 9378
