0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:54 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:57 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 199
0:0:0:0:0:0:0:1 - - [16/Oct/2022:19:57:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:19 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:19 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:20 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:20 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:23 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:24 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:03:24 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:04 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:04 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:05 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 500 3707
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:09 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:23:09 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:26:58 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:26:58 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:26:59 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4456
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:26:59 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:06 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:06 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4846
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:06 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:10 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:10 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:10 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:13 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2620
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:13 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:26 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:26 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1694
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:26 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:29 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:29 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:30 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 4628
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:30 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:36 +0900] "POST /BBS/commentAction.jsp?bbsID=1 HTTP/1.1" 200 217
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:36 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5014
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:27:36 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:37:50 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:37:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4321
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:37:52 +0900] "GET /BBS/css/bootstrap.css.map HTTP/1.1" 200 389287
0:0:0:0:0:0:0:1 - - [16/Oct/2022:20:37:53 +0900] "GET /BBS/view.jsp?bbsID=1 HTTP/1.1" 200 5014
